interaction_id,question_type,domain,retrieved_gold,n_words,t,t_suf,t_sc,top1_stable_streak,top1_changed,named_entity_detected,words_since_first_ne,question_word_type,label,label_sc
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,sports,False,17,1,,2,1,0,0,0,how,,0
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,sports,False,17,2,,2,1,1,0,0,how,,1
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,sports,False,17,3,,2,2,0,1,0,how,,1
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,sports,False,17,4,,2,3,0,1,1,how,,1
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,sports,False,17,5,,2,4,0,1,2,how,,1
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,sports,False,17,6,,2,5,0,1,3,how,,1
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,sports,False,17,7,,2,6,0,1,4,how,,1
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,sports,False,17,8,,2,7,0,1,5,how,,1
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,sports,False,17,9,,2,8,0,1,6,how,,1
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,sports,False,17,10,,2,9,0,1,7,how,,1
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,sports,False,17,11,,2,10,0,1,8,how,,1
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,sports,False,17,12,,2,11,0,1,9,how,,1
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,sports,False,17,13,,2,12,0,1,10,how,,1
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,sports,False,17,14,,2,13,0,1,11,how,,1
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,sports,False,17,15,,2,14,0,1,12,how,,1
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,sports,False,17,16,,2,15,0,1,13,how,,1
7bb29eb4-12f9-45f9-bf8a-66832b3c8962,post-processing,sports,False,17,17,,2,16,0,1,14,how,,1
55b219e5-ba31-4318-a73d-551f0fb9c546,multi-hop,finance,True,11,1,1,6,1,0,0,0,what,1,0
55b219e5-ba31-4318-a73d-551f0fb9c546,multi-hop,finance,True,11,2,1,6,1,1,0,0,what,1,0
55b219e5-ba31-4318-a73d-551f0fb9c546,multi-hop,finance,True,11,3,1,6,2,0,0,0,what,1,0
55b219e5-ba31-4318-a73d-551f0fb9c546,multi-hop,finance,True,11,4,1,6,3,0,0,0,what,1,0
55b219e5-ba31-4318-a73d-551f0fb9c546,multi-hop,finance,True,11,5,1,6,1,1,0,0,what,1,0
55b219e5-ba31-4318-a73d-551f0fb9c546,multi-hop,finance,True,11,6,1,6,1,1,0,0,what,1,1
55b219e5-ba31-4318-a73d-551f0fb9c546,multi-hop,finance,True,11,7,1,6,2,0,0,0,what,1,1
55b219e5-ba31-4318-a73d-551f0fb9c546,multi-hop,finance,True,11,8,1,6,3,0,0,0,what,1,1
55b219e5-ba31-4318-a73d-551f0fb9c546,multi-hop,finance,True,11,9,1,6,4,0,0,0,what,1,1
55b219e5-ba31-4318-a73d-551f0fb9c546,multi-hop,finance,True,11,10,1,6,5,0,0,0,what,1,1
55b219e5-ba31-4318-a73d-551f0fb9c546,multi-hop,finance,True,11,11,1,6,6,0,1,0,what,1,1
8163a6f0-3238-4a69-ba60-a4a06090bc6f,simple,movie,True,14,1,2,7,1,0,0,0,which,0,0
8163a6f0-3238-4a69-ba60-a4a06090bc6f,simple,movie,True,14,2,2,7,1,1,1,0,which,1,0
8163a6f0-3238-4a69-ba60-a4a06090bc6f,simple,movie,True,14,3,2,7,2,0,1,1,which,1,0
8163a6f0-3238-4a69-ba60-a4a06090bc6f,simple,movie,True,14,4,2,7,3,0,1,2,which,1,0
8163a6f0-3238-4a69-ba60-a4a06090bc6f,simple,movie,True,14,5,2,7,4,0,1,3,which,1,0
8163a6f0-3238-4a69-ba60-a4a06090bc6f,simple,movie,True,14,6,2,7,5,0,1,4,which,1,0
8163a6f0-3238-4a69-ba60-a4a06090bc6f,simple,movie,True,14,7,2,7,1,1,1,5,which,1,1
8163a6f0-3238-4a69-ba60-a4a06090bc6f,simple,movie,True,14,8,2,7,2,0,1,6,which,1,1
8163a6f0-3238-4a69-ba60-a4a06090bc6f,simple,movie,True,14,9,2,7,3,0,1,7,which,1,1
8163a6f0-3238-4a69-ba60-a4a06090bc6f,simple,movie,True,14,10,2,7,4,0,1,8,which,1,1
8163a6f0-3238-4a69-ba60-a4a06090bc6f,simple,movie,True,14,11,2,7,5,0,1,9,which,1,1
8163a6f0-3238-4a69-ba60-a4a06090bc6f,simple,movie,True,14,12,2,7,6,0,1,10,which,1,1
8163a6f0-3238-4a69-ba60-a4a06090bc6f,simple,movie,True,14,13,2,7,7,0,1,11,which,1,1
8163a6f0-3238-4a69-ba60-a4a06090bc6f,simple,movie,True,14,14,2,7,8,0,1,12,which,1,1
ddfc9471-4496-4fef-bf05-994233fa4340,multi-hop,finance,False,15,1,,8,1,0,0,0,which,,0
ddfc9471-4496-4fef-bf05-994233fa4340,multi-hop,finance,False,15,2,,8,1,1,0,0,which,,0
ddfc9471-4496-4fef-bf05-994233fa4340,multi-hop,finance,False,15,3,,8,1,1,0,0,which,,0
ddfc9471-4496-4fef-bf05-994233fa4340,multi-hop,finance,False,15,4,,8,1,1,0,0,which,,0
ddfc9471-4496-4fef-bf05-994233fa4340,multi-hop,finance,False,15,5,,8,2,0,0,0,which,,0
ddfc9471-4496-4fef-bf05-994233fa4340,multi-hop,finance,False,15,6,,8,3,0,0,0,which,,0
ddfc9471-4496-4fef-bf05-994233fa4340,multi-hop,finance,False,15,7,,8,1,1,0,0,which,,0
ddfc9471-4496-4fef-bf05-994233fa4340,multi-hop,finance,False,15,8,,8,1,1,0,0,which,,1
ddfc9471-4496-4fef-bf05-994233fa4340,multi-hop,finance,False,15,9,,8,2,0,0,0,which,,1
ddfc9471-4496-4fef-bf05-994233fa4340,multi-hop,finance,False,15,10,,8,3,0,0,0,which,,1
ddfc9471-4496-4fef-bf05-994233fa4340,multi-hop,finance,False,15,11,,8,4,0,0,0,which,,1
ddfc9471-4496-4fef-bf05-994233fa4340,multi-hop,finance,False,15,12,,8,5,0,0,0,which,,1
ddfc9471-4496-4fef-bf05-994233fa4340,multi-hop,finance,False,15,13,,8,6,0,0,0,which,,1
ddfc9471-4496-4fef-bf05-994233fa4340,multi-hop,finance,False,15,14,,8,7,0,0,0,which,,1
ddfc9471-4496-4fef-bf05-994233fa4340,multi-hop,finance,False,15,15,,8,8,0,0,0,which,,1
74ec83d9-0ebc-4f5e-b738-7cffbf262e74,post-processing,open,False,10,1,,9,1,0,0,0,other,,0
74ec83d9-0ebc-4f5e-b738-7cffbf262e74,post-processing,open,False,10,2,,9,1,1,0,0,other,,0
74ec83d9-0ebc-4f5e-b738-7cffbf262e74,post-processing,open,False,10,3,,9,1,1,0,0,other,,0
74ec83d9-0ebc-4f5e-b738-7cffbf262e74,post-processing,open,False,10,4,,9,2,0,0,0,other,,0
74ec83d9-0ebc-4f5e-b738-7cffbf262e74,post-processing,open,False,10,5,,9,3,0,0,0,other,,0
74ec83d9-0ebc-4f5e-b738-7cffbf262e74,post-processing,open,False,10,6,,9,4,0,0,0,other,,0
74ec83d9-0ebc-4f5e-b738-7cffbf262e74,post-processing,open,False,10,7,,9,1,1,0,0,other,,0
74ec83d9-0ebc-4f5e-b738-7cffbf262e74,post-processing,open,False,10,8,,9,2,0,0,0,other,,0
74ec83d9-0ebc-4f5e-b738-7cffbf262e74,post-processing,open,False,10,9,,9,1,1,0,0,other,,1
74ec83d9-0ebc-4f5e-b738-7cffbf262e74,post-processing,open,False,10,10,,9,2,0,0,0,other,,1
9864fff2-af82-495c-ab18-a6c589635d29,false_premise,open,False,9,1,,7,1,0,0,0,when,,0
9864fff2-af82-495c-ab18-a6c589635d29,false_premise,open,False,9,2,,7,1,1,0,0,when,,0
9864fff2-af82-495c-ab18-a6c589635d29,false_premise,open,False,9,3,,7,2,0,1,0,when,,0
9864fff2-af82-495c-ab18-a6c589635d29,false_premise,open,False,9,4,,7,1,1,1,1,when,,0
9864fff2-af82-495c-ab18-a6c589635d29,false_premise,open,False,9,5,,7,2,0,1,2,when,,0
9864fff2-af82-495c-ab18-a6c589635d29,false_premise,open,False,9,6,,7,3,0,1,3,when,,0
9864fff2-af82-495c-ab18-a6c589635d29,false_premise,open,False,9,7,,7,1,1,1,4,when,,1
9864fff2-af82-495c-ab18-a6c589635d29,false_premise,open,False,9,8,,7,2,0,1,5,when,,1
9864fff2-af82-495c-ab18-a6c589635d29,false_premise,open,False,9,9,,7,3,0,1,6,when,,1
3569f7c6-3198-40e8-a3e4-45599e23c4f8,simple_w_condition,finance,False,16,1,,12,1,0,0,0,what,,0
3569f7c6-3198-40e8-a3e4-45599e23c4f8,simple_w_condition,finance,False,16,2,,12,1,1,0,0,what,,0
3569f7c6-3198-40e8-a3e4-45599e23c4f8,simple_w_condition,finance,False,16,3,,12,2,0,0,0,what,,0
3569f7c6-3198-40e8-a3e4-45599e23c4f8,simple_w_condition,finance,False,16,4,,12,1,1,0,0,what,,0
3569f7c6-3198-40e8-a3e4-45599e23c4f8,simple_w_condition,finance,False,16,5,,12,1,1,0,0,what,,0
3569f7c6-3198-40e8-a3e4-45599e23c4f8,simple_w_condition,finance,False,16,6,,12,2,0,0,0,what,,0
3569f7c6-3198-40e8-a3e4-45599e23c4f8,simple_w_condition,finance,False,16,7,,12,3,0,0,0,what,,0
3569f7c6-3198-40e8-a3e4-45599e23c4f8,simple_w_condition,finance,False,16,8,,12,4,0,0,0,what,,0
3569f7c6-3198-40e8-a3e4-45599e23c4f8,simple_w_condition,finance,False,16,9,,12,1,1,0,0,what,,0
3569f7c6-3198-40e8-a3e4-45599e23c4f8,simple_w_condition,finance,False,16,10,,12,2,0,0,0,what,,0
3569f7c6-3198-40e8-a3e4-45599e23c4f8,simple_w_condition,finance,False,16,11,,12,1,1,0,0,what,,0
3569f7c6-3198-40e8-a3e4-45599e23c4f8,simple_w_condition,finance,False,16,12,,12,1,1,1,0,what,,1
3569f7c6-3198-40e8-a3e4-45599e23c4f8,simple_w_condition,finance,False,16,13,,12,2,0,1,1,what,,1
3569f7c6-3198-40e8-a3e4-45599e23c4f8,simple_w_condition,finance,False,16,14,,12,3,0,1,2,what,,1
3569f7c6-3198-40e8-a3e4-45599e23c4f8,simple_w_condition,finance,False,16,15,,12,4,0,1,3,what,,1
