interaction_id,question_type,n_words,n_passages,gold_size,gold_density,ans_tokens,t_suf,phi_suf
55b219e5-ba31-4318-a73d-551f0fb9c546,multi-hop,11,110,11,0.1,1,1,0.09090909090909091
8163a6f0-3238-4a69-ba60-a4a06090bc6f,simple,14,166,24,0.14457831325301204,2,2,0.14285714285714285
7752219e-72eb-44c7-bf83-a52a00c7b5da,simple_w_condition,10,65,3,0.046153846153846156,1,8,0.8
37d00a45-b707-4f82-8ad5-faaab9f7f24a,comparison,19,307,42,0.13680781758957655,2,1,0.05263157894736842
41354a30-fd4f-4ae7-b234-566136410e16,simple_w_condition,9,63,1,0.015873015873015872,1,2,0.2222222222222222
1015c11e-ebfb-44aa-8dc1-7d8742b2feca,simple_w_condition,10,103,54,0.5242718446601942,1,1,0.1
4afd82c6-af57-41b2-9848-f0ec9479efd5,simple,10,159,100,0.6289308176100629,2,1,0.1
2e03317d-d5d0-4814-8bb9-72dee71f5c52,comparison,17,215,15,0.06976744186046512,2,13,0.7647058823529411
4ef3290a-1d97-4c93-a1d2-e57a5822e114,simple,9,358,55,0.15363128491620112,1,2,0.2222222222222222
9be1e42c-e119-4379-a0b2-aaddc34eb429,aggregation,16,131,1,0.007633587786259542,13,9,0.5625
17f084f8-5db0-41bf-b9b5-ec81b95e2191,simple,5,62,5,0.08064516129032258,1,2,0.4
508a207a-f44d-4d4d-b875-4615878d250d,aggregation,15,94,49,0.5212765957446809,1,1,0.06666666666666667
639d2cc0-99d6-4346-ac63-e963568d80f4,aggregation,7,250,18,0.072,1,5,0.7142857142857143
7a77679e-d88b-4acf-9532-94e32233950b,comparison,10,162,1,0.006172839506172839,1,8,0.8
40da23a9-d45d-4afa-b5d3-8da790da9d40,simple_w_condition,7,151,71,0.47019867549668876,3,2,0.2857142857142857
81148a6f-de74-4624-a2b3-794e9ed5ab76,multi-hop,11,154,13,0.08441558441558442,1,5,0.45454545454545453
2a56eddc-9aa9-4377-86b3-f1e4283fa677,aggregation,14,64,17,0.265625,1,2,0.14285714285714285
cb7b187b-93c0-40ea-b8f7-c7ae7f0ed29e,comparison,14,32,2,0.0625,2,11,0.7857142857142857
2d866dcc-5a48-429d-8fc5-9117dfd4395f,post-processing,12,191,5,0.02617801047120419,1,8,0.6666666666666666
1443794f-87da-4e41-a425-ff08ab1b4640,simple_w_condition,6,85,8,0.09411764705882353,2,1,0.16666666666666666
129da772-7047-418c-9871-98801c6dbee8,simple,13,130,10,0.07692307692307693,2,2,0.15384615384615385
aa29b165-d6ac-423b-88a2-7a6ec06e0273,simple_w_condition,15,303,269,0.8877887788778878,1,1,0.06666666666666667
688ce190-86a9-4e4f-9028-e1f1b268d6c9,simple,13,181,68,0.3756906077348066,2,1,0.07692307692307693
9b770c69-f54f-46d8-bbb4-d89e098d82fb,simple,12,59,4,0.06779661016949153,2,6,0.5
251c298e-e240-444d-ade3-426b99cd03b1,simple,9,58,12,0.20689655172413793,1,1,0.1111111111111111
2d8bdc48-5286-4e13-aac5-2aeb0f089d12,simple,11,244,6,0.02459016393442623,1,4,0.36363636363636365
fab53292-d446-4ea1-aeb3-bd24c03cc264,aggregation,17,93,31,0.3333333333333333,1,1,0.058823529411764705
b8e81474-d076-45c2-86da-87cf81fd5326,simple,9,51,8,0.1568627450980392,1,1,0.1111111111111111
6f6452ef-7e3d-4e3b-b789-d8800b980687,comparison,11,39,10,0.2564102564102564,2,1,0.09090909090909091
ce18f7dd-f5fb-4e36-91c4-442cb0afe7e4,simple,11,196,16,0.08163265306122448,2,1,0.09090909090909091
959e4644-d7e9-4063-a916-73107ca91015,comparison,17,85,6,0.07058823529411765,5,3,0.17647058823529413
7ce64475-a26d-4991-b716-e0c6a00c5fe7,comparison,11,126,75,0.5952380952380952,1,1,0.09090909090909091
e35f001a-b9f5-465e-b311-34789352d9fd,aggregation,13,400,270,0.675,1,1,0.07692307692307693
ed8aa3dc-3d28-4633-99f4-c01e19ea1f49,simple,8,66,11,0.16666666666666666,1,4,0.5
f9df617d-0815-4116-b345-f90e24b6bceb,simple,9,92,9,0.09782608695652174,1,3,0.3333333333333333
89e63c8a-1be3-4790-a381-d56b0b022231,comparison,13,86,23,0.26744186046511625,1,1,0.07692307692307693
36a8f12f-43ec-4558-8ffa-ca882993569c,simple,11,161,95,0.5900621118012422,1,2,0.18181818181818182
8057669d-3e4a-4d11-a9e0-20982e83cdae,comparison,17,63,9,0.14285714285714285,1,3,0.17647058823529413
c491de27-e364-495a-8042-380e76863962,comparison,15,396,293,0.73989898989899,1,1,0.06666666666666667
d9223437-5337-4dd9-a8b9-708d62ab8172,simple,8,196,21,0.10714285714285714,3,3,0.375
bcc88678-d327-4792-b6f5-bb7efc33e2c6,multi-hop,15,400,34,0.085,2,2,0.13333333333333333
8ac3b4fd-ef94-46fb-bd7b-e7716e9b2c9e,comparison,12,310,140,0.45161290322580644,3,1,0.08333333333333333
12ecfd39-1425-4957-9c86-321581048ef2,simple,6,43,17,0.3953488372093023,2,4,0.6666666666666666
c6bb3372-bf98-4ace-abb8-c1e4de37234a,simple_w_condition,9,80,12,0.15,1,1,0.1111111111111111
95395d91-4c20-42d2-a83a-63cd7ceb9de0,comparison,10,63,24,0.38095238095238093,1,2,0.2
26c71ab4-7e91-4fca-9ee0-bf37112a60e0,comparison,15,42,13,0.30952380952380953,2,3,0.2
8c17fc19-f436-45ab-bb67-b5a73c39cd41,simple,7,78,9,0.11538461538461539,1,2,0.2857142857142857
15d28e34-405b-42a8-8a73-41fcb9584845,simple,11,73,6,0.0821917808219178,1,1,0.09090909090909091
a0dd8a0d-e8a9-46d7-b930-e30af0cb3671,simple,8,400,6,0.015,1,1,0.125
8afb7c54-21de-4dae-9afd-71b317dae885,simple,8,76,8,0.10526315789473684,1,1,0.125
6a0ab652-c65e-4857-b209-16fafd25ee9e,aggregation,14,315,99,0.3142857142857143,1,1,0.07142857142857142
ff20865f-b6d3-4348-88a8-e46d865191ca,simple_w_condition,14,158,13,0.08227848101265822,3,9,0.6428571428571429
5268e83b-ba85-44a3-b8eb-f3a494ed053f,simple,8,46,23,0.5,2,1,0.125
470277f4-2101-4aaa-a35e-c44b4a7bf758,simple,9,75,4,0.05333333333333334,3,1,0.1111111111111111
a3d5797d-8a38-483b-b42f-168f38fcceab,simple,8,100,1,0.01,1,6,0.75
0046851e-506f-4925-b769-bda66af48f9e,simple,8,68,4,0.058823529411764705,1,1,0.125
6368de43-1ee8-437e-8f6f-b23a9fdb48ad,simple,16,337,12,0.03560830860534125,1,16,1.0
f068a33c-2458-4d27-8448-02906e6b5fa5,aggregation,10,99,2,0.020202020202020204,2,8,0.8
909fb375-e924-4f8b-8c9d-b39d2402550b,multi-hop,19,102,16,0.1568627450980392,4,1,0.05263157894736842
ba4433de-8237-4207-a110-566219bb36dd,aggregation,10,56,6,0.10714285714285714,1,3,0.3
51062299-8123-4c3e-ac34-cc5bfd9cb50b,comparison,12,39,10,0.2564102564102564,2,1,0.08333333333333333
0d862391-3ab9-4049-a722-50c9d940d171,simple_w_condition,9,86,24,0.27906976744186046,2,1,0.1111111111111111
c4beea56-f5f5-4762-b228-cd3bc4a67be9,comparison,11,68,26,0.38235294117647056,2,1,0.09090909090909091
109630e1-0687-4dc3-8e1c-e62df3868d45,simple,15,142,15,0.1056338028169014,3,2,0.13333333333333333
02475276-3a61-4c12-8a51-7a13af1ff70c,simple,11,181,8,0.04419889502762431,1,1,0.09090909090909091
12a47336-9e10-4a00-a94b-fade06d41eb8,simple,6,168,66,0.39285714285714285,2,1,0.16666666666666666
ab211237-6c20-4782-8e3d-c8548f27e2a5,comparison,13,78,12,0.15384615384615385,1,1,0.07692307692307693
19c28ca8-31ec-4d8c-9c69-6f86f3972df7,comparison,19,45,2,0.044444444444444446,1,7,0.3684210526315789
589a531e-6644-4715-98a1-c148ddc5f07f,comparison,15,31,9,0.2903225806451613,2,1,0.06666666666666667
